bgTcp,nNodes,nFlows,pps,throughputMbps,avgDelay,deliveryRatio,dropRatio
westwood,20,10,100,4.61186,0.0142988,1,0
westwood,40,10,100,4.61186,0.0142988,1,0
westwood,60,10,100,4.61186,0.0142988,1,0
westwood,80,10,100,4.61186,0.0142988,1,0
westwood,100,10,100,4.61186,0.0142988,1,0
imtcpbg,20,10,100,3.79398,0.0124423,0.999365,0
imtcpbg,40,10,100,3.79398,0.0124423,0.999365,0
imtcpbg,60,10,100,3.79398,0.0124423,0.999365,0
imtcpbg,80,10,100,3.79398,0.0124423,0.999365,0
imtcpbg,100,10,100,3.79398,0.0124423,0.999365,0
imtcpbgimproved,20,10,100,4.52922,0.012477,1,0
imtcpbgimproved,40,10,100,4.52922,0.012477,1,0
imtcpbgimproved,60,10,100,4.52922,0.012477,1,0
imtcpbgimproved,80,10,100,4.52922,0.012477,1,0
imtcpbgimproved,100,10,100,4.52922,0.012477,1,0
